sexo,idade,numero_de_amigos,basquete,futebol_americano,futebol,softbol,voleibol,natacao,animacao,beisebol,tenis,esportes,fofo,danca,banda,marcha,musica,rock,cabelo,vestido,shopping,compras,roupas,nossa_marca,marca_concorrente,bebidas
M,28,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,28,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,30,10,0,0,0,10,0,0,0
F,26,28,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,27,56,20,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,40,20,0,0,0,0,0,0
F,25,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,29,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
F,26,22,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
F,26,14,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
F,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,20,0,0,0,0,0
F,27,83,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0
F,24,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0
NE,26,97,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
F,28,138,20,0,0,20,0,0,0,20,0,10,20,0,0,0,10,0,0,10,0,10,10,0,0,0
F,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
F,29,8,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0
F,25,16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
F,27,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,25,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
F,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
M,28,38,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,28,32,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,29,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0
F,28,37,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
F,28,76,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
F,28,28,0,10,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,50,0,20,0,0,0,0
F,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,28,18,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,10
M,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
NE,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0
F,27,15,10,10,40,0,0,0,0,10,0,10,0,0,0,0,20,0,60,0,10,0,10,0,0,0
F,26,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10
F,26,9,0,0,10,10,0,0,20,0,0,0,0,40,0,0,20,0,10,0,0,0,0,0,0,0
F,26,8,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0
F,27,31,0,30,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,20,0,10,0,0,0,0
F,25,26,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,10,0,0,0
F,26,67,0,30,0,0,0,0,0,0,10,10,0,10,0,0,20,20,10,0,0,0,0,0,0,0
F,25,39,0,0,70,0,10,0,0,0,0,10,10,10,0,0,0,0,10,0,0,20,0,0,0,0
M,29,12,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
F,28,143,20,0,0,0,0,0,0,0,0,0,10,20,0,0,20,10,10,0,10,10,10,0,0,0
F,28,29,0,0,0,30,0,0,0,0,0,0,0,30,0,0,10,0,0,10,0,10,0,0,0,0
F,27,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
F,28,3,10,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0
F,25,127,0,0,0,0,0,0,20,0,0,0,0,0,80,10,0,0,0,0,0,0,0,0,10,0
F,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0
F,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0
F,26,141,10,10,0,0,0,20,0,0,0,0,0,0,0,0,10,0,40,0,10,10,0,0,0,0
F,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,27,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F,28,29,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,27,23,40,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,20,0,10,0,0,0,0,10
M,26,9,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0
F,27,15,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0
F,28,242,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,26,0,0,0,20,0,20,0,0,0,0,0,0,20,30,0,30,10,20,10,0,0,10,0,0,0
F,26,19,30,0,70,0,0,0,0,0,0,0,0,0,10,0,10,0,20,0,10,10,10,0,0,0
F,26,32,0,0,10,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0
F,29,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,10,0,20,0,0,10,0,0,0,0
F,28,2,0,0,0,0,0,0,0,0,0,0,10,20,0,0,10,0,10,0,0,30,0,0,0,0
F,28,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,10,0,0,0
F,27,73,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F,28,57,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
F,26,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,10,0,0,0
M,29,0,10,0,0,0,0,0,0,0,0,0,0,30,20,0,10,0,10,10,0,0,10,0,0,20
F,25,56,40,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,10,0,0,0,0,0
F,28,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,10,10,10,50,0,0,0
F,26,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0
M,27,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,26,54,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,26,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0
F,25,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
M,28,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
F,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
F,27,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,30,0,40,0,20,0,0,0
F,28,25,0,0,10,20,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0
F,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,25,67,0,0,20,0,10,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0
NE,28,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0
F,28,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
NE,26,84,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
F,26,32,10,10,10,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,26,31,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,10,0,0,0,0,0,0,10
F,27,11,0,0,0,0,0,0,0,0,0,0,10,10,50,10,10,0,10,0,0,0,0,0,0,0
F,29,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
F,27,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,10,10,0,0,0,0
F,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
F,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
F,27,75,0,0,0,10,40,0,0,0,0,0,10,20,0,0,0,0,0,20,90,40,0,0,0,0
M,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
M,25,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,10,0,0,0
M,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,10,0,0,0,0,0
F,28,112,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,10,10,0,20,10,0,0,0,0
NE,28,23,0,0,0,0,0,0,0,0,0,0,0,10,10,10,80,0,0,0,0,0,0,0,0,0
F,27,96,0,0,0,10,0,0,0,0,10,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0
F,27,29,0,0,0,0,0,0,0,0,10,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0
F,26,9,0,0,10,0,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,10,0,0,0,0
M,26,46,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,25,57,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,28,61,60,0,20,0,0,0,0,10,0,10,0,0,0,0,10,10,0,0,30,0,0,0,0,0
F,29,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0
F,26,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
F,26,18,0,20,0,0,40,0,10,0,0,30,10,10,0,0,0,10,0,0,0,30,0,0,30,0
M,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,10,0,0,10
M,27,22,10,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,26,23,10,0,0,0,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0
NE,27,84,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
F,27,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,10,0,0,0
F,28,64,10,0,0,0,0,0,0,0,0,0,20,0,0,0,10,10,0,0,0,0,0,0,0,0
F,28,7,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,20,0,10,0,0,0,0
F,27,35,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,30,10,0,0,0,0,0,0
M,27,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,0,0,0,0,0,10,0,0,0,0
NE,29,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,10,10,0,0,0,0,0,0
NE,27,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,26,77,0,0,0,10,0,20,0,0,0,0,0,0,0,0,10,10,10,0,10,10,10,0,0,10
M,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
M,29,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0
F,29,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,60,10,0,0,10,0,0,0,0
F,27,144,0,0,0,0,0,0,0,0,0,10,0,60,0,0,40,0,10,40,10,20,0,10,0,0
F,26,153,0,0,0,0,0,0,0,10,0,0,10,30,0,0,30,10,20,0,50,20,10,0,0,0
F,25,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0,0
M,27,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,25,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,27,75,10,10,0,10,0,0,0,20,10,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0
F,29,26,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
F,26,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0
F,26,32,10,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0
F,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
F,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0
M,28,63,0,0,0,0,0,0,0,0,0,0,0,0,30,10,20,0,0,0,0,0,0,0,0,0
F,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
M,28,51,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
F,26,62,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0
F,27,4,0,0,0,0,0,0,0,10,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0
NE,27,51,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0
M,28,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,20,0,0,0,0,0,0,0,0
F,28,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,10,0,50,30,10,10,10,0,0,0
F,27,2,10,10,0,10,0,0,0,0,0,10,0,0,20,0,30,0,10,0,0,10,30,0,0,0
F,29,27,0,0,10,0,0,0,0,0,0,0,20,20,0,0,10,0,10,10,0,10,0,10,0,0
F,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
F,25,39,0,10,0,50,30,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0
M,29,68,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
F,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
NE,27,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0
F,27,34,0,0,20,0,0,0,0,0,0,0,20,0,0,0,40,0,0,0,10,10,0,0,0,0
M,27,13,0,40,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0
M,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F,25,27,0,0,10,10,0,0,10,0,0,0,20,10,0,0,0,0,0,0,0,0,0,10,0,20
F,28,16,0,10,10,0,0,0,0,0,0,10,0,40,10,0,0,0,10,20,10,0,0,0,0,0
M,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
M,26,13,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,28,50,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,20,10,0,0,0,0
F,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,20,0,0,0,0
F,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
F,26,75,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
F,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
F,25,41,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0,10,0,0,0,0
F,26,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
M,26,0,10,0,0,0,0,0,0,0,0,40,0,10,10,0,0,0,50,0,0,0,20,0,0,0
NE,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
F,28,16,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,30,0,0,0,0,0,0,0
F,26,42,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0
F,27,18,0,0,0,0,0,10,0,0,20,0,0,0,0,0,20,10,10,0,0,0,10,0,0,0
M,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0
F,26,79,30,0,0,50,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
NE,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
F,26,0,0,40,10,0,0,20,0,0,0,0,0,10,0,0,10,0,20,0,10,40,30,0,0,30
F,25,17,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,10,0,0,0,0,0
NE,26,59,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,28,52,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
M,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,20,0,0,0
F,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
F,27,41,0,0,0,0,20,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0
F,28,43,10,20,0,10,0,0,0,30,0,10,10,0,10,0,20,0,10,0,0,0,0,0,0,20
NE,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
F,28,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0
F,27,11,0,0,0,0,0,0,0,0,10,0,0,0,40,0,0,0,10,0,0,0,10,0,0,0
F,28,10,0,0,30,0,0,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0
F,25,5,10,10,0,20,0,0,10,0,0,0,0,0,60,10,0,0,0,0,0,0,0,0,0,0
F,28,28,10,30,10,10,10,10,20,20,10,20,0,0,0,0,30,20,0,0,0,0,0,0,0,10
F,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
F,27,14,0,30,10,0,0,0,0,0,0,0,10,10,0,0,10,0,20,10,0,0,0,0,0,0
M,27,20,0,40,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,28,30,0,10,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,10,0
F,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,10,0,0,0,0
M,28,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,50,0,0,0,0,0,0,0,0,0
F,28,35,0,0,0,0,0,0,0,0,0,0,0,0,70,0,20,0,0,0,0,0,0,0,0,0
F,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
F,25,14,10,0,0,10,30,0,0,0,0,0,10,10,20,0,10,0,10,10,10,0,0,0,0,0
F,28,7,10,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,20,30,10,10,0
M,25,0,30,30,0,0,0,0,0,0,0,20,0,0,0,0,30,0,30,0,10,10,0,0,0,10
F,25,22,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,10,0,20,0,0,0,0
M,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,50,30,10,10,0,0
F,27,27,0,10,0,0,0,0,0,0,0,10,20,0,0,0,10,30,20,0,10,10,0,0,0,0
M,28,64,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0
F,27,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
F,28,16,0,0,0,0,0,0,0,0,40,0,0,0,0,0,10,20,10,0,0,10,0,0,0,0
F,27,58,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
M,27,2,0,0,40,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0
M,28,44,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,28,60,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
M,25,4,0,0,0,0,0,0,0,0,0,0,0,30,0,0,60,0,0,0,0,0,0,0,0,0
F,27,50,0,0,0,0,0,0,0,0,0,0,0,20,0,0,30,10,0,0,0,10,20,0,0,0
F,27,28,10,20,0,10,0,0,0,0,0,10,10,10,20,0,40,70,40,20,30,0,10,0,0,70
F,28,2,10,10,0,0,0,0,0,0,0,0,30,0,0,0,10,0,20,0,0,0,0,0,0,0
F,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,20,0,0,0
F,27,42,20,0,0,30,10,0,0,0,0,10,0,0,0,0,10,0,0,10,10,10,0,0,0,0
M,28,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,10,10,0,0,0,0
NE,29,4,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,27,43,0,0,0,20,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,0,10
F,26,10,10,10,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
F,27,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0
F,26,4,30,30,20,0,0,0,0,10,0,20,10,70,10,0,60,110,90,10,10,0,20,0,0,0
F,29,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,10,0,0,0,10,0,0,0,0
M,28,64,10,10,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,0,0,0,0
F,29,33,10,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
F,27,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
F,26,38,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0,0,0,0
F,27,49,0,0,0,0,0,0,0,0,0,0,0,0,70,20,0,0,0,0,0,10,0,0,0,0
F,27,0,0,0,40,0,0,0,0,0,0,0,0,20,0,0,10,0,0,10,20,10,10,0,0,0
F,26,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
