reputacao_artista,altura,largura,peso,preco_escultura,preco_base_envio,diferenca_dias_entrega,data_agendada_dias,data_agendada_mes,data_agendada_ano,data_entrega_dias,data_entrega_mes,data_entrega_ano,material_Argila,material_Bronze,material_Latão,material_Madeira,material_Mármore,material_Não especificado,material_Pedra,internacional_Sim,envio_expresso_Sim,instalacao_incluida_Sim,transporte_Aéreo,transporte_Não especificado,transporte_Rodoviário,fragil_Sim,pedido_extra_cliente_Sim,localizacao_remota_Sim,custo_previsto
0.02,5.1816,1.8288,214.095424,16.4325,117.495,3,17,1,2019,20,1,2019,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,862.0514541310251
0.14,9.7536,3.048,1331.29252,22.365,66.7275,0,23,3,2023,23,3,2023,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,943.5448063826879
0.99,1.2192,1.2192,84.821704,33.495,72.1875,2,16,5,2022,18,5,2022,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,1836.3678804552744
0.38,5.7912,2.7432000000000003,104.32616,28.9275,110.67,-1,27,4,2019,26,4,2019,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,1244.3250289730897
0.53,9.7536,3.6576,267.165688,33.4425,114.345,-1,8,5,2022,7,5,2022,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,2056.511032093847
0.26,12.4968,3.048,256.733072,16.537499999999998,107.205,-2,12,12,2022,10,12,2022,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1084.4094109037924
0.17,4.8768,1.8288,345.183512,34.44,96.2325,-4,13,9,2021,9,9,2021,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,969.1750657981397
0.44,3.3528,1.8288,546.124768,29.7675,90.405,3,12,6,2020,15,6,2020,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,1135.3015587244115
0.2,4.8768,2.4384,252.197152,26.775,84.1575,-3,5,5,2019,2,5,2019,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,826.8636891206233
0.46,4.2672,1.8288,106.59412,33.6525,69.93,-2,19,4,2023,17,4,2023,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1086.2802224973939
0.62,3.6576,2.4384,499.404792,20.16,117.0225,-3,21,9,2020,18,9,2020,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,1915.202734218194
0.33,7.010400000000001,1.8288,254.918704,16.38,54.127500000000005,-2,12,5,2023,10,5,2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,847.7279853759809
0.57,4.2672,2.4384,79.83219199999999,17.1675,84.4725,4,23,2,2023,27,2,2023,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1315.3401896270543
0.42,0.9144,0.9144,9.525432,36.6975,94.2375,-4,23,6,2020,19,6,2020,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,1041.7231129554773
0.5,3.9624,2.1336,83.91452,34.23,95.55,4,9,1,2023,13,1,2023,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,1273.6673064525348
0.54,1.8288,1.524,261.722584,29.4525,84.05250000000001,-2,19,8,2022,17,8,2022,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,1437.8997561239157
0.42,6.4008,2.1336,145.60303199999998,22.785,59.0625,-1,10,3,2022,9,3,2022,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,940.2355730820354
0.16,5.1816,1.8288,100.697424,26.9325,75.60000000000001,-1,30,3,2019,29,3,2019,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,695.7905766693626
0.84,1.2192,0.9144,39.008912,30.2925,63.21,0,23,7,2020,23,7,2020,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,1377.1370301612194
0.89,8.2296,2.4384,303.90664,34.0725,81.7425,4,7,3,2023,11,3,2023,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,3751.3345202083337
0.33,3.048,1.524,382.831648,36.1725,111.3,3,1,10,2021,4,10,2021,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1049.129819012866
0.5,1.8288,1.2192,77.564232,27.195,104.7375,0,16,4,2019,16,4,2019,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1229.0073276851915
0.3,6.096,1.8288,98.883056,33.495,103.005,0,15,6,2019,15,6,2019,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,972.3375613108901
0.58,0.9144,0.6096,38.101728,16.38,90.825,3,19,10,2019,22,10,2019,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,1144.6246003946449
0.16,3.048,1.2192,292.56684,17.43,102.585,-2,17,10,2021,15,10,2021,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,920.6426289564927
0.68,8.8392,2.1336,558.371752,16.17,121.1175,-1,11,4,2019,10,4,2019,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,3114.4022113625206
0.63,1.2192,1.2192,31.297848,25.1475,94.29,-4,11,5,2020,7,5,2020,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1242.790232720559
0.72,3.048,1.2192,171.004184,17.6925,104.79,-3,29,9,2022,26,9,2022,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,1724.0830082449008
0.38,6.096,1.8288,450.416856,16.065,114.7125,-4,23,7,2023,19,7,2023,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,1505.6158691192425
0.96,8.2296,1.8288,1883.767576,30.87,116.34,4,24,2,2019,28,2,2019,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,5590.350055492428
0.09,3.6576,2.1336,1156.6596,27.195,79.905,-4,23,11,2020,19,11,2020,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,872.065264681517
0.63,4.572,2.4384,231.33192,17.9025,52.9725,3,8,8,2021,11,8,2021,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1353.7623245190289
0.88,7.010400000000001,2.1336,405.96484,18.8475,108.3075,4,14,8,2019,18,8,2019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3053.2817826126166
0.87,4.2672,2.1336,225.888816,27.2475,122.5875,-1,25,8,2019,24,8,2019,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,2595.582626528265
0.47,6.4008,3.6576,357.884088,24.9375,69.6675,-2,15,6,2022,13,6,2022,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,1554.6140190118379
0.53,5.1816,2.1336,248.568416,30.03,121.59,-4,26,2,2023,22,2,2023,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,1872.995930161727
0.56,0.9144,0.6096,30.390664,32.655,101.1675,-4,10,9,2021,6,9,2021,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1221.848331458176
0.36,7.010400000000001,2.1336,108.408488,28.035,63.525,0,19,11,2021,19,11,2021,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,883.7989674602144
0.66,3.048,1.2192,549.299912,48.615,86.835,4,20,3,2020,24,3,2020,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,1446.0789610843303
0.21,3.3528,2.4384,253.104336,23.1525,117.075,3,2,1,2021,5,1,2021,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,965.0987011510789
0.62,2.1336,1.524,39.008912,28.8225,92.925,3,13,11,2022,16,11,2022,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,1263.8061821998529
0.07,2.1336,1.524,17.690088,32.865,115.92,-4,4,5,2021,30,4,2021,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,809.722806638882
0.41,1.524,0.9144,294.381208,22.5225,57.015,3,18,10,2020,21,10,2020,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,906.2561760587289
0.1,1.524,0.9144,9.525432,34.965,69.72,3,3,3,2023,6,3,2023,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,639.4043931369624
0.82,1.524,1.524,27.21552,36.645,95.76,-1,30,1,2019,29,1,2019,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,1425.69352205518
0.33,3.6576,1.8288,443.159384,25.41,100.2225,3,12,11,2021,15,11,2021,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1052.0162154899579
0.26,6.096,3.9624,217.72416,35.805,105.525,1,4,7,2020,5,7,2020,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1019.7997535322809
0.2,0.9144,0.6096,17.690088,36.435,102.7425,1,29,9,2021,30,9,2021,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,921.2852367308952
0.19,8.5344,2.4384,488.972176,16.7475,122.85,1,17,1,2020,18,1,2020,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,982.5111765416409
0.04,2.1336,1.2192,127.912944,30.2925,73.3425,4,3,9,2019,7,9,2019,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,653.1573025496846
0.05,5.1816,3.3528,114.305184,19.8975,90.195,4,4,12,2021,8,12,2021,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,704.4265470004366
0.38,2.7432000000000003,1.2192,207.291544,32.4975,58.2225,-4,1,7,2021,27,6,2021,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,942.6221792284459
0.39,2.7432000000000003,1.524,259.454624,18.165,70.665,-4,13,5,2022,9,5,2022,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,1008.6758843347187
0.96,3.6576,2.1336,213.641832,27.3525,86.4675,0,5,5,2021,5,5,2021,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2396.2884952068766
0.32,4.2672,2.1336,746.612432,27.8775,118.545,-2,24,7,2020,22,7,2020,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,1368.576181122968
0.89,8.2296,3.9624,256.733072,21.105,62.2125,0,14,12,2022,14,12,2022,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,3424.5183489772717
0.52,0.9144,0.9144,28.576296,22.26,78.75,0,19,5,2020,19,5,2020,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,979.5997966076325
0.75,1.524,1.2192,8.618248,29.6625,60.06,2,17,2,2019,19,2,2019,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,1202.7083111358493
0.89,6.7056,3.048,208.65232,21.3675,86.52,1,22,12,2022,23,12,2022,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,3003.452875203964
0.4,9.4488,3.6576,828.712584,28.245,57.5925,0,3,6,2020,3,6,2020,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1257.0670319915857
0.27,6.7056,3.6576,521.177208,30.765,103.7925,-4,22,9,2020,18,9,2020,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1149.5614394067206
0.31,6.096,2.1336,112.490816,26.775,92.9775,-1,29,12,2021,28,12,2021,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,957.04324979249
0.1,8.2296,2.7432000000000003,63.50288,30.9225,76.1775,-1,7,3,2022,6,3,2022,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,660.4672545513839
0.27,1.2192,0.9144,3.175144,30.2925,92.3475,0,5,2,2023,5,2,2023,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,895.0622524110328
0.13,2.7432000000000003,1.524,384.192424,19.4775,100.1175,0,4,10,2022,4,10,2022,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,946.1382029869326
0.52,3.3528,1.8288,979.75872,43.7325,120.645,0,13,6,2023,13,6,2023,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1517.1707770202938
0.3,3.048,1.524,520.270024,15.9075,104.475,-2,4,6,2021,2,6,2021,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,1170.1921647767365
0.94,1.2192,0.9144,53.523856,16.065,96.4425,2,13,4,2021,15,4,2021,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1593.582266259605
0.33,2.1336,1.2192,1601.17976,35.7,70.245,-1,17,9,2022,16,9,2022,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,1197.9170680879458
0.31,9.7536,2.4384,800.58988,34.0725,85.05,1,13,6,2023,14,6,2023,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,1018.1453456001869
0.61,6.7056,3.9624,210.466688,30.975,124.005,3,1,3,2020,4,3,2020,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2418.972292143141
0.9,1.8288,1.2192,76.203456,22.6275,129.7275,2,4,12,2021,6,12,2021,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1888.0387948958762
0.14,4.2672,2.4384,1169.360176,16.6425,82.2675,-2,22,5,2019,20,5,2019,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1035.9977815278837
0.24,5.7912,3.6576,341.554776,31.815,91.665,-2,10,2,2020,8,2,2020,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,1002.7262136601438
0.4,3.6576,2.1336,215.909792,33.39,93.975,2,23,2,2023,25,2,2023,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,1129.9437364869402
0.2,0.9144,0.6096,14.514944,34.23,54.6,-3,5,4,2023,2,4,2023,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,718.5196708644237
0.83,5.486400000000001,2.1336,441.345016,16.065,108.675,2,28,4,2022,30,4,2022,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,2875.1559671503505
0.28,1.8288,1.524,1084.538472,20.0025,53.235,0,19,12,2019,19,12,2019,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,980.0910065245866
0.52,5.7912,2.7432000000000003,853.660144,50.085,65.9925,-2,19,7,2019,17,7,2019,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,1545.9207278492022
0.32,9.144,3.9624,962.975816,27.0375,126.42,-1,14,5,2021,13,5,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1408.130313860882
0.87,9.7536,4.572,672.676936,31.4475,125.4225,4,26,10,2022,30,10,2022,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4503.709361874999
0.23,6.096,2.1336,1930.03396,25.41,103.0575,2,7,8,2023,9,8,2023,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,1244.2358640784516
0.81,2.4384,1.524,21.318824,22.8375,92.6625,0,25,5,2021,25,5,2021,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1387.4603706799492
0.52,2.1336,1.2192,103.418976,35.07,109.2,1,14,7,2023,15,7,2023,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1264.0354265344408
0.03,1.524,1.2192,13.154168,33.2325,59.01,-1,5,5,2023,4,5,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,626.1481103866628
0.12,2.7432000000000003,1.524,347.905064,19.005,74.02499999999999,1,22,4,2023,23,4,2023,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,700.6278319557579
0.91,1.2192,1.2192,68.0388,30.24,65.73,-4,11,3,2021,7,3,2021,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,1723.336271236476
0.28,0.9144,0.9144,14.968536,26.775,58.9575,-4,9,1,2023,5,1,2023,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,823.2355956448243
0.26,4.2672,2.1336,239.496576,20.265,89.88000000000001,4,19,4,2022,23,4,2022,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,959.7059863291586
0.93,5.1816,2.4384,90.264808,25.7775,53.9175,-4,29,12,2020,25,12,2020,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,2158.299454528655
0.3,0.9144,0.9144,125.644984,28.56,78.12,-4,5,10,2021,1,10,2021,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,969.577574187203
0.56,2.7432000000000003,1.524,246.300456,31.5525,123.69,4,8,7,2023,12,7,2023,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,1403.1625045692954
0.69,2.1336,1.2192,146.963808,26.7225,127.8375,-3,7,5,2019,4,5,2019,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,1726.816790336976
0.36,9.144,4.2672,201.84844,24.15,122.9025,0,27,4,2020,27,4,2020,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,1257.9081685980534
0.23,5.1816,2.1336,46.719976,25.935,57.540000000000006,1,23,5,2019,24,5,2019,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,709.871145301776
0.48,6.7056,3.6576,515.280512,19.1625,108.9375,-3,24,2,2019,21,2,2019,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1794.721904298986
0.92,1.2192,1.2192,78.471416,26.8275,85.94250000000001,-2,4,3,2019,2,3,2019,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1832.0191456136608
0.51,5.1816,3.048,902.64808,38.5875,105.7875,1,27,3,2020,28,3,2020,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1666.2136628975425
0.06,7.010400000000001,2.7432000000000003,97.52228,21.3675,108.045,-4,16,8,2019,12,8,2019,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,848.2529574145324
0.29,5.486400000000001,4.2672,531.609824,20.475,115.5525,-2,28,10,2020,26,10,2020,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1261.9169303836513
0.56,4.572,2.1336,85.275296,21.7875,78.6975,1,15,5,2019,16,5,2019,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,1221.420535247879
0.73,7.62,1.8288,1886.489128,44.4675,74.655,-1,10,6,2022,9,6,2022,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2354.737077080591
0.3,4.2672,2.4384,1654.703616,40.3725,73.815,-4,5,7,2019,1,7,2019,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,1106.6131940934042
0.32,1.8288,1.2192,81.64656,22.9425,119.2275,-4,4,9,2020,31,8,2020,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1084.3664525472097
0.35,1.524,0.9144,10.432616,26.5125,121.5375,-1,6,11,2022,5,11,2022,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,1060.3306754808739
0.59,8.2296,4.572,1172.53532,35.175000000000004,108.0975,3,28,5,2019,31,5,2019,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,2371.108527399296
0.61,3.9624,2.4384,415.03668,36.5925,101.6925,-3,19,8,2023,16,8,2023,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,1763.0094546031548
0.24,4.2672,2.4384,2053.410984,30.135,118.125,2,25,9,2021,27,9,2021,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1223.2770129286837
0.56,0.9144,0.6096,19.504456,35.7525,120.2775,4,14,5,2021,18,5,2021,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1195.82208292116
0.43,1.524,1.524,53.070264,20.37,107.6775,-4,5,5,2020,1,5,2020,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,1138.722116933761
0.04,6.7056,3.6576,421.386968,21.5775,93.135,2,17,5,2019,19,5,2019,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,741.3978036907359
0.21,1.8288,1.524,27.21552,18.06,123.9525,-1,14,1,2021,13,1,2021,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,951.4931248739746
0.17,9.144,3.6576,906.730408,32.13,80.01,-2,10,3,2021,8,3,2021,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,864.6628143386841
0.74,10.9728,2.1336,90.264808,20.685,79.53750000000001,-1,4,8,2020,3,8,2020,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2515.8936677083334
