,nota_review,review
36517,5,A entrega foi surpe rapida
38059,3,Nenhuma
26150,1,Ainda esta no prazo para entrega
10676,4,A entrega foi dentro do previsto estou satisfeito.
38093,2,Ainda estou aguardando a entrega
121,5,entrega rapida
12885,5,Muito antes do previsto! 
34110,5,"Muito rápido, recomendado."
35814,5,Só achei muito longo o prazo de entrega.
28444,5,Minha namorada gostou muito.
28909,3,Entrega feito muito rápido
4270,1,Loja muito ruim
26534,5,Fiquei impressionada com a rapidez na entrega.
12651,2,A empresa é falha
988,5,Chegou muito rápido .
14935,3,chegou dentro do prazo de entrega
2423,5,Recomendo... prefeito;
33282,5,"Recomendo, muito ágil."
379,5,Recomendo está loja.
7219,4,Recebido
39044,3,Demora muito a entregar 
2410,4,ENTREGA OK
7116,5,Entrega e produto ótimo.
24944,4,minha filha que comprou e gostou
12817,5,shiow
12689,5,A melhor loja👏👏👏👏😍
6217,5,Tenho ótimas experiências com a loja. 
16556,1,Estou a espera do meu pedido
34598,1,SEM OPINAR
31423,4,Bonitinho!
22840,3,dentro do anunciado.
11544,3,Sem opinião
29238,5,Compensa
15114,1,Decepcionada
27651,5,Empresa muito eficiente!!!
4978,4,sem restrições
24552,5,"Eu recomendo está loja, pela eficiência na entrega"
739,2,Mais agilidade na entrega 
7297,5,SEM QUEIXAS
1497,5,Confortavel
24521,5,Entrega bem ágil
928,5,Mada a declarar
18203,5,Fiquei satisfeito com a rapidez da entrega.
38365,2,nbpm
19978,1,Aguardando retorno da loja
19720,5,Rápido no envio
27017,5,Sem questionamento
876,5,fantástico
26922,1,"demora na entrega do produto
"
38912,5,VENDEDOR CONFIÁVEL
619,3,Eu adorei muito. 
22746,5,Loja de conceito e respeito.
31125,5,eficiência...
3376,5,Muito rápido
34743,4,Dentro do contratado
11238,4,Bomfornecedor
27070,1,ATRAZADA
23751,3,E bonzinho
8951,5,Minha loja preferida
5126,5,Dentro do combinado 
32974,5,lOJA RECOMENDADA
11258,5,Extremamente rápido e eficiente.
31731,1,"o que aconteceu com este produto?
"
31168,5,Entrega Ntes do prazo recomemdo!!
854,5,Otima loja
18114,4,prazo muito longo de entrega
26877,5,Qualidade intermediária
15329,2,Custa muito
13130,5,rapido e correto 
418,4,Entrega uma dia antes do previsto
22866,1,Merda
261,5,Entrega e produto perfeito!
4097,5,Compraria novamente!!
33817,5,muuto rapido a entrega 
10471,5,Só tenho a agradecer 
6457,1,Loja sem credibilidade. 
4633,1,Muita demora na entrega.
6052,5,chegou no prazo
7680,4,exatamente o que comprei
36388,5,Top essa loja
12348,4,"rever o prazo de entrega,"
32601,5,Recomendo loja muito confiavel...
2444,5,dfgadfgertterqt
15626,5,Entrega no prazo combinado. 
34088,5,Goatei muito 
37900,4,deveria ser mais rapido
24441,5,Rápida e eficiente
28503,5,Entrega do produto rápido.
37307,3,Atrasou a entrega
4253,5,produtos de qualidade
10773,5,Valeu
5683,4,Entrega antes do prazo previsto.
8443,5,Satisfeita com a compra e entrega.
34205,5,Atencioso.
13565,5,Chegou muito rápido! =D
35958,5,"Chegou no dia seguinte!!!
"
31295,5,Tdo correto 
5529,3,A entrega poderia ser mais rapida
19744,4,Satisfeito com o prazo de entrega.
2489,5,Entrega feita antes do prazo
4399,1,a Entrega não foi realizada. 
12454,5,Recomendo o  e parceiros
5258,5,Dentro do prazo
30930,3,funciona
19424,5,Muito satisfeita com o produto é a loja . 
28995,5,Entrega a tempo
11828,3,Apenas é muito demorado o prazo de entrega.
12039,1,loja pessima 
17516,5,a entrega chegou antes do previsto.
160,5,LOJA 10
26113,4,indicaria
16758,1,Loja com prazo grande para entrega
30415,5,Eu adoro essa loja!
4963,1,Muito demorado! 
34004,4,Adorei a rapidez da entrega
23047,5,Rápido e de qualidade
35080,5,Esta loja é de confiança 
18668,5,Dahora
29328,3,rasoave
368,4,"Recomendo esta loja entrega direitinho
"
4022,5,muito rápido e seguro
36107,5,"Qualidade, segurança e rapidez na entrega.
?????"
6620,5,Sucesso a vocês!
32853,3,NSO CHEGOU AINDA
35332,2,Entrega bastante demorada
1708,1,Estou aguardando posição da loja
33277,5,Recomendo sem restrições 
23129,1,Estou arrependido.
614,5,Maravilhosa 
35133,3,ao mantem a temperatura
2614,5,Qualidade no atendimento. 
3738,5,Antes do Prazo!
1869,4,otimo negocio
24954,3, a loja é otima
22291,5,Continui assim
29634,1,é muito fino 
22982,1,Essa loja nunca mais
7734,5,lindos
7653,5,Como eu imaginei
17228,5,satiesfeito
14802,5,"Foi objetivo, prático e eficaz. "
28926,1,Achei fraco
27544,1,Lixo 
1280,5,NAKJSK
34278,5,otmo
26245,5,Veio no prazo!
80,3,entrega super rapida
19594,5,Entrega top
8262,5,Entrega e funcionamento perfeitos
10165,5,ecelente
15096,5,Tdo certo com a entrega ...
33756,4,otimo prazo
27334,5,O melhor!!! 
9115,5,Produtos de qualidade... recomendadíssimo 
38720,5,sempre rápidos na entrega
18154,1,Negativo
22468,4,Os cartuchos estavam vazios
21082,5,Foi cumprido o que eu queria.
34761,5,entrega no prazo corrreto 
5663,5,Excelente loja
4412,5,entrega rápida e eficiente
18523,5,Qualidade Top!
34519,5,satisfação pela compra e entrega
2377,1,Passou do prazo 
36105,4,Achei só muito demorado o prazo para a entrega.
26819,5,"Demoro mas chegou
"
36674,1,Ainda nas mãos do correio
32177,3,Ainda está dentro do prazo de entrega
7248,5,Chegou mais rápido que o previsto! 
6943,4,No aguardo
30403,1,demora no atendimento.
1379,5,Joia
22306,5,Loja perfeita 
33948,4,Entrega boa
25302,4,Entrega no prazo certo
15376,5,Fiquei surpreso pela rapidez da entrega!
31740,4,Entrega correta e rápida. 
21615,5,Melhor loja do Brasil
29020,3,Ainda agreo a entrega
10967,4,Fatisfeito com o produto é a entrega
32160,5,Entrega certa e rapida.
12236,5,"entrega super rápida, loja muito confiável."
30111,5,Impecável 
16021,5,Muito bem 
27997,3,"Por enquanto 
O que aconteceu com o meu produto?"
1838,5,Gostei muito da rapidez da entrega..
27459,5,Bababa
16280,5,Entrega muito rápida perfeito 
4238,5,"Entrega no prazo, muito bom"
36987,5,A ENTREGA FOI FEITA NO PRAZO CORRETO
23920,5,ótimo e rapida entrega
18950,5,Otima compra e entrega. 
10121,1,Não confiavel
886,4,Chegou dentro do prazo.
18897,5,Loja totalmente confiável... 
2471,1,Nao
9362,4,Há diferença de prazo de entrega.
6137,3,Tem que ter responsabilidade 
24206,5,Entrega rápido. Muito bom
32579,5,Processo e entrega excelentes !!!!
957,5,Fiquei muito satisfeita
22085,1,vergonhoso
35897,5,Excepcional!
30454,5,"Entrega dentro do prazo, muito bom."
20957,5,Entrega antes do prazo estimado
34257,1,hoviveis
24246,5,Excelente rapidez na entrega !
3360,5,satisfeitissima
11060,5,Entrega chegou antes do prazo.
6243,5,"Pela rapidez e eficiência da loja, "
32112,5,Profissionais 
71,5,Muito bom
35121,5,Chegou mais rápido do que eu pensava
12906,5,empresa confiável e ágil
3864,5,Satisfação
38802,5,Parabensss 
763,4,muito boa a loja
865,4,O cheiro muito bom
22657,4,Processo de entrega muito demorado.
14634,5,Sem criticas
3411,3,uma loja Boa 
31307,5,"Sucesso na entrega!
=D"
33506,3,Atendimento de acordo 
29781,5,Chegou antes do prazo de entrega 
12063,5,Entrega antes do prazo isso é ótimo para a reputação da loja
16462,5,A entrega foi mais rápida que o previsto. 
18887,2,Ainda n recebi a entrega
22058,1,Nao recebi a entrega
21941,5,"Entrega no prazo , recomendo a loja "
35748,5,Recomendo totalmente!!!
7997,5,"Comprometimento
"
1035,5,Recomendo a loja por sua rapidez e eficiência.
4306,4,Está dentro do que eu esperava.
13166,1,A entrega ainda não foi efetuada. 
18348,5,Entrega bem antes do previsto.
11175,5,Agradecido!
4612,5,ndr
7495,1,nao recebido
27965,1,Loja não é confiável 
11988,5,Loja excelente.
7222,5,Eficientes
17141,3,O produto muito fraco
21201,5,Otimo produto e entrega
36986,5,"sim eu recomendo esta loja,"
5142,5,entrega antes d prazo
9286,1,Péssimo 
33496,1,Ainda estou esperando a entrega! 
705,5,Muito obrigada
30538,5,Empresa de confiança. 
29336,5,Otimo muito top essa loja ..
17050,5,EFICIENTISSIMO .
36863,4,A entrega bastante rápida.
20389,5,Só que comprei errado 
35126,4,Empresa confiável e responsável. 
11507,3,Tá demorando a entrega
4005,5,Entrega foi bem rápida. 
18701,5,gostei foi rapido a entrega 
14737,4,Sem reclamações
13127,5,Comprometido
1906,2,Pedido e entrega sem detalhes 
22860,5,Entrega antes do prazo!!! Perfeito!!
885,5,Recomendo rápida entrega
35768,5,"CONTUNUEM ASSIM








"
33379,5,pontual no prazo de entrega
27,5,Recomendo o vendedor... 
27458,4,Muito Luinda
36618,5,"Entrega rápida, recomendo a loja"
13315,4,SATISFEITISSIMO
4929,1,Veio metade
32285,5,"Sem palavras, surpreendente."
1296,5,gostei muito do prazo de Entrega
15608,5,não tenho opinião
33447,4,O serviço e ótimo a demora é do Correio !
31764,5,Adorei muito o meu relogio
1184,1,Foi uma decepção!!
1805,5,Muito rápido o atendimento é a entrega.
2127,5,melhor loja amei o relogio de mais. 
3877,5,Rápida e de qualidade...
6165,4,Recebi antes do prazo de entrega.
32766,5,Determinado 
7628,5,"Ótima Loja, entrega no prazo!"
24150,5,Chegou muito rapido..lindos
9470,4,Produto de qualidade e loja séria na entrega.
26029,4,Dentro das espectativas
14326,5,"Excelente produto ,loja e entrega "
7134,4,Deveria ser mais barato!
13548,3,Prazo de entrega é muito demorado.
22131,4,Do jeitinho que eu queria 
24841,5,rapido e perfeito
1370,3,Recomendo a um amigo
4658,5,Entrega no prazo!!! Obrigada
30091,4,satrisfeito
5440,2,Produto 
20814,3,Achei o prazo de entrega muito longo.
37820,5,"Execelente negócio.
"
17541,5,Satisfeita com o produto e com a entrega.
30636,1,Recebi minha compra pela metade
22819,5,Eu recomendo a empresa
15332,5,Vlw fi
26158,5,adorei prazo de entrega
15598,1,Rever a política de entrega 
27950,5,Muito bom a loja entrega no prazo 
8006,1,Não respeitou o prazo da entrega
10376,5,Recomendo a parceira 
38113,5,"É o que estava precisando!
"
36078,5,blza
13032,1,Meu pedido esta preso nos correios....
10442,1,Só Chegou um produto
23921,4,"Entrega antes do previsto, muito bom."
35682,5,Naravilhoso
33242,5,Entrega mega rápido!
237,5,Perfeitos😁
2459,2,Sem comentários....
4096,4,Recomendo sim a loja.
20606,5,Rápido e eficaz
24853,5,Recomendo muito a loja e os produtos
34018,1,Atraso 
7420,5,gira facilmente! 
31053,5,Recomendo a compra nas Zoop 
17266,5,Responsaveis
27431,4,pontualidade na entrega.
24279,5,Bem confiável
28761,5,Bolsa maravilhosaaaa!!!!
29827,4,Entrega foi realizada dentro do prazo..
314,5,"Entrega antes do prazo, recomendo essa loja."
21113,5,Super recomendo o aplicativo Zoop.com
29850,5,Bom prazo de entrega
2674,5,ótimo vendedor
19503,5,Lindas 
6531,5,Gostei muito da eficiência da entrega
26596,3,Tive que buscar no correio 
7979,2,Atraso na entrega.. ruim
26046,5,"Entrega antes do prazo,satisfeitissimo"
34287,4,A entrega foi entregue dentro do prazo .
32475,5,Entrega rápida e com qualidade
38760,5,Entrega nota 10
13940,3,Dentro das expectativas
2996,5,Entrega feita perfeitamente. Recomendo !
3344,5,entre antes do prazo :D
24925,1,recebi um copo 
23158,1,Dentro do prazo previsto.
4718,3,Entrega sem problemas.
27870,4,Ótimo serviço de entrega
20676,5,Funcionando perfeitamente.
34238,5,Adorei. Recomendado
2732,5,Funciona perfeitamente
13366,4,Bom é eficiente na entrega 
21368,4,"Tudo o! 
"
9644,3,t4354t4t
11095,5,"Estou muito satisfeita com a loja, obrigada!!!!"
25300,1,parceria sem responsabilidade
9671,1,Estou esperando meu produto
24571,5,Podia mandar brinde .
36339,5,Adorei a rapidez 
14487,3,Muito pequeno
19926,5,Melhor empresa
35487,5,Rdgs
9192,3,"Achei muito fraquinho.
"
7066,5,Rapido e eficiente
629,5,maravilhoso
34618,4,Gostei da facilidade!
18386,5,Execente
28265,5,"entrega no prazo, amei"
2052,4,Ótimo produto e loja.
37909,5,sem estress.
15798,5,Recomendo esse fornecedor
10858,3,Entrega tranquila e dentro do tempo.
20652,5,Os pincéis são lindos!!!!!!
2607,5,Miuto bom está loja
11458,5,Ótima empresa
23623,5,Necessário informar se a entrega será pelos Correios.
2869,5,excelente prazo de entrega
17360,5,Atende minha necessidade 
26300,5,Rapidez e qualidade!
3239,5,RECOMENDO EFUSIVAMENTE.
25301,3,Achei o tamanho muito pequeno 
3720,5,recebi
5833,5,Entrega antes do final do prazo.
976,5,Recomendo a compra!
6741,5,Podem confiar
2003,5,dsdfr3fEF
6621,4,muito pratico
35497,2,Demora muito pra chegar
12111,5,Entrega muito rápida adorei. 
29214,5,bem rápido a entrega
9157,5,Exelente
5262,5,Leve e confortável.
37401,4,"recomendo, chegou rápido!"
24476,5,Recomendo ótimo!!
14426,5,Fácil de montar e muito confortável 
7072,5,gostei do tempo de entrega
33,5,Maravilha 
38805,3,Os quadrinhos são lindos...
2591,3,Sim
37345,5,Confiável e entrega no prazo.
6237,4,Não tenho o que reclamar!!
6,5,Loja nota 10
7395,3,Gostei da rapidez.
1587,1,Não chegou
896,5,Lojas de altamente de qualidade
31824,5,Dentro da expectativa
12594,5,Recomendadissimo
34274,5,#SempreÉbomMelhorar!!!!
29948,5,Ótimo sistema de entrega
34858,5,"muito rapido a compra, e a entrega tambem"
17148,4,Compra garantida.
7844,3,pensei que fosse maior
29849,2,Estou esperando meu pedido ! E já passou do prazo de entrega
1187,5,Muito bom rápido a entrega 
35145,5,Jduddjjd
32190,5,Facilidade de compra e pronta entrega.
3935,5,Chegou antes do previsto
4720,5,compraria novamente...de qualidade
25508,4,Dentro do esperado.
30058,5,Entrega perfeita antes do prazo.
17441,5,Loja que tem respeito ao cliente!
20621,5,Uma das melhores loja online.
30409,5,Chegou perfeito
37099,5,Adorei a compra 
16249,5,Lindoooi
36928,5,"entrega antes do esperado
"
38800,5,Mas chegou de acordo com o anúncio. 
2022,5,Entrega antes do prazo. Muito bom
35851,1,precisa melhorar muito
11803,5,Ótima carteira. 
36939,5,No prazo e com qualidade!
21764,5,Recomendo essa.loja.entrega antes.do prazo.
22347,5,"Entrega correta, loja confiável muito obrigada "
7014,5,Adorava 
17204,5,Entrega totalmente excelente
25567,5,Serviço ótimo
21848,5,"Otimo a entrega, muito rápido "
36544,1,TERRIVEL ESTE PROBLEMA DA ENTREGA
381,5,Excelente
1188,5,produto perfeito
24108,5,Dentro da normalidade!
29711,5,facil de montar
26072,5,"Entrega super rápida, muito antes do previsto."
25502,4,Gostei da mochila
35115,5,Muito bom adaptador!!
35863,1,Não atende o prazo de entrega
35416,5,Muito satisfeiro.
3301,5,como se esperava
39135,5,Atendimento muito eficaz
14814,5,"Entrega a jato, vendedor correto"
16866,5,Perfeito entrega e o prazo.
10432,1,Quero receber
20931,1,Entrega super atrasada
15338,5,muita boa loja
792,5,Satisfatório!
62,5,Gostei da atenção com a entrega
25730,5,"a melhor loja de departamentos .
"
35923,5,gostei do produto e da entrega 
8059,4,Recimendo
10983,5,Entrega adiantada ! Ótimo 
23161,4,Avaliação positiva
27237,5,Esxelente
17981,5,Entrega super rápida adoreiiii 
38605,5,Loja excelente negociação 
15444,1,Só recebi metade do que comprei
26651,1,a entrega nao chegou correta completa
632,4,CUMPRIRAM...
26327,5,"Muito bom e seguro
"
1238,3,O farol estava como preto e veio cromado. 
19733,5,SUCESSO :D
4070,1,Não veio o que foi pedido!!
4356,2,Razoável 
6655,4,Muito boa entrega
22212,5,Demora muito pra entregar
8071,4,A entrega demorou demais.
24716,3,Entrega muita rápida 
33564,5,Beleza Jóia !!! 
11883,5,Confiável e Rápido
35480,4,Sem observações
27837,4,Melhor seria se não cobrado entrega
3511,4,"Entrega no prazo, obrigado."
287,5,entrega dentro do prazo isso é importante. 
22050,5,"ENTREGA SUPER RÁPIDA, ME SURPREENDI!"
18025,4,ótimo o trabalho 
19734,4,Muita demora na entrega pelos Correios. 
25631,5,chegou muito RÁPIDO....ADOREI
21193,5,entrega da mercadoria antes do prazo
20313,4,"Recomendo. leve, versátil."
9320,4,Fiquei satisfeito com a entrega das Zoop.com
24186,5,entrega rapida e direito
23115,5,Produto e loja de confiança
5802,5,Produto e entrega excelentes.
30448,5,O pedido chegou no prazo
34596,4,Chegou certo.
14415,5,"Entrega muito antes do prazo determinado.
"
12417,5,Valeu a compra.
4467,1,Chegou meu pedido incompleto 
29754,5,continuarei comprando
35137,5,RECOMENDO. EFICIENTE E RÁPIDO.
10141,5,Adorei! Muito prática!
34320,4,Achei excelente 
5601,3,O prazo para entrega é muito longo.
8825,3,Entrega dentro do prazo previsto. Satisfeito.
20810,1,Um absurdo esse atraso
5014,5,Entrega bem antes do prazo.
11594,5,Exemplo de competência. 
32264,2,Muita demora.
3569,5,ótimo muito bom.
32757,5,"Muito rapida a entrega ,perfeito "
23497,5,Apaixonado 
9630,3,Indico
543,2,Ainda estou aguardando
13452,4,Gostei da loja e do atendimento
30044,1,serviço ruim
12904,1,Chateado
2214,5,Veio antes do prazo de entrega. 
7133,5,Uma excelente ferramenta.
25440,5,Simplesmente amei!!!
19925,5,"Pronta entrega, antes do prazo"
37548,4,Muito atenciosos.
37152,5,A entrega foi mais rápido do que o esperado. 
27576,5,Cheiroso
18618,5,Amei a qualidade
1634,4,Sem mais agradeço 
5335,5,Uma das melhores compras que já fiz
33004,2,Achei q demorou muito a entrega 
37062,5,"Entrega antes do prazo, embalagem 100%. "
21020,5,"Entrega bem antes do previsto, ótima."
21926,5,Amei a loja cumprem a entrega 
22475,3,só deveria se um pouco mais rápido a entrega
1434,5,vbvbsgfbsbfs
8254,5,A baratheon e a melhor loja do Brasil
37392,2,só achei que era de borracha e não de plástico
16479,1,Não recomendo a loja.
3968,5,"Otimo
Rapido"
529,5,GOSTAEI DA RAPIDEZ DA ENTREGA
35151,5,Entrega antes do prazo satisfeito 
26374,4,caixa veio aberta!
20998,5,Era o que prescisava
26856,3,Satisfeito com o produto é com a loja
33533,1,chegou sem uma peça 
36562,5,Perfeito... chegou muito rapido
29032,5,A entrega foi antes.do prazo muitobom
11811,4,"Muito rápido e ágil a entrega, muito bom! "
7620,5,Trabalho de qualidade
7265,4,Eu recomendaria 
15390,5,mundo eficiente loja 100º 
15904,4,bom brinquedo
10056,5,Recomendo produto e loja.
37109,1,Aparelho usado
30508,5,Produto e loja excelente
32243,4,Chegou de acordo com o que foi pedido.
30416,5,Chegou no dia seguinte. Muito bom.
14506,5,Elogiável
11780,1,Faltou a grama
11371,5,Muito bom a rapidez da entrega 
28687,5,Muito bonito o relógio.
9128,5,super satisfeita com o produto e entrega
30492,5,O pedido chegou antes do prazo de entrega.
5758,5,Era oque eu esperava 
16947,1,não tenho ainda
14240,5,"Recomendo loja e produto
"
32219,3,Entrega muito demorada e ainda houve atraso!
26322,5,Recomendo para outros
28797,1,nononono
2902,5,Recomendo entrega antes do previsto
13881,5,Adorei a eficaz 
35941,4,Tudo no prazo.
34869,4,Entrega e produto conforme anuncio
7652,5,PRODUTO E ENTREGA EXELENTE
23714,4,"Produto de qualidade, mais teve atraso na entrega.
"
27598,5,Capacete otimo
6551,5,"Entrega antes do prazo previsto, sensacional"
18028,5,Já estou pensando em cancelar o pedido...
29488,4,"Blz
Bom"
15693,1,A Zoop precisa melhorar a qualidade da entrega
34419,5,surpreendente.
9261,5,Até estão estou amando meu capacete😊
824,5,chegou rapidinho!!!!
14705,5,rapidez na entrega...ótimo
35582,5,barato e rápido 
28321,4,Espero que o efeito seja rápido como a entrega 
30967,5,Pode ser mais rápido a entrega. 
12106,3,Ainda não tive problemad
13283,4,Ótima loja entrega antes do prazo
23447,5,Ótima loja e produtos
26646,4,entrega antes do prazo e conforme o pedido
6143,5,Apesar da greve dos correios
23938,4,Gostei da praticidade da loja.
38262,5,Entrega mega rápida.
7571,5,Perfeito. Adorei.
26938,1,A Entrega veio pwla metade
24205,5,Recomendo! Sem sombra de 
6772,1,estou aguardando
6840,5,Melhor do Brasil
9427,1,Empresa sem credibilidade.
36502,1,Estou aguardando a entrega do produto.
298,3,Chegou amassado... 
35827,5,Promete o combinado.
13893,5,Entrega rápida como sempre
18534,3,Acredito que seja bom 
35583,5,Entrega super atenciosos e entrega antes o previsto. 
20680,5,Adorooo
30068,5,Recomendo o site
17887,5,A loja tem um excelente atendimento
3775,5,Aconselho a compra.
26971,3,tive que buscar nos correios
13839,5,Entrega Super rápido 
5782,5,Excelente trabalho
52,3,Gostei 
30016,5,Recomendo muito!!! Quero mais uma!!
11938,5,COMPRA TRANQUILA.
22062,5,"A loja é muito segura e tem uma entrega eficiente
"
21987,4,Queria que tivesse chegado mais rápido ...
4492,2,Estou aguardando a troca do capacete.
4850,5,"Gastei muito

"
644,5,"Entrega feita e o produto é o que eu queria, muito bom!! "
720,5,Entrega antes do prazo - Otimo
36948,5,Entrega antes do prazo estabelecido
21853,4,muito platico
7201,5,Os quadros são lindos! 
12238,5,Exatamente o que eu estava precisando 
15129,4,Custo beneficio bom
23432,3,Rápida entrega e eficiente.
30267,3,Achei muito fino o tecido
14035,5,"recomendo 100%
"
1501,1,Não entregaram
10702,4,Facil e bom
11173,5,muito boa a empresa que entrega
32245,1,A entrega não foi realizada até o momento.
2577,5,Como combinado 
8914,3,Tdo certo
38211,5,chegou em ordem dentro do prazo.
36136,1,O prazo da entrega nao foi comprido.
9247,1,Empresa não é pontual na entrega.
21329,5,Vou continuar comprando
29373,4,Entrega rápida venda 100%!
14304,5,Compre a vontade
17290,5,Prestativo
21785,5,Profissionalismo
5461,5,Entrega antes do prazo .... SHOWWWWWW 
37054,4,Gostei do compromisso com a entrega
26413,5,Entregaram do prazo 
2795,4,Recebi no prazo.
24172,5,Entrega no prazo certinho!
5883,4,recomendo sempre.
35340,5,Ótima entrega é rápido
10331,5,Entrega no prazo prometido.
26999,4,comprei e recebi 
30920,5,L
33174,1,Muita demora do pedido.
1232,1,"muito obrigado
"
11514,5,Foi muito fácil e rápida a compra e entrega.
3970,5,Entrega no prazo e produto perfeito
16415,5,super rápido a entrega .
13506,1,Estou esperando até hoje.
3536,5,muito satisfeito com o produto e a entrega
39238,3,Recomendo otimo vendedor 
20103,5,ainda está dentro do prazo 
1409,5,"Entrega super rápida, antes do prazo"
15542,5,Super funciona
1824,4,Entrega dentro do prazo e vendedor super recomendado
6375,4,gostei do produto e da Loja
30100,4,Entrega rápida do produto
38240,5,"Muito bonito , de qualidade."
33429,4,Entrega antes do prozo 
2178,3,Achei um pouco demorado a entrega
231,3,Esperando o instalador
17135,5,"Comprei marrom, veio preta"
22953,5,"Muito bom, chegou rápido "
31724,5,Gostei uma otima loja
10514,5,um espetaculo
20271,5,Atendimento de primeira.
21235,5,loja muito boa entrega rápido
3161,4,Entrega muito rápida antes do prazo
4969,5,Entrega antes do prazo previsto...muito bom
8752,4,estamos testando
1116,3,Produto de qualidade. 
8773,5,procedimento de compra até a entrega nota 10.
20368,5,recomendo sem duvida
28753,5,Pedido chegou de acordo! 
1441,5,Gostei recomendo a loja 
10495,5,Entrega antes do previsto. Excelente serviço. 
5974,3,Não entrega no prazo
32227,5,chegou antes do prazo determinado pela loja. 
10872,4,A entrega até foi antes do previsto..gostei muito
25947,4,"como eu esperaca
"
14159,5,Relógio de qualidade. 
19118,5,Excelente parceiro 
35599,5,Compromisso
23517,1,Veio quebrado
1413,5,Recomendo a todos
7747,3,"Rapidez na entrega , lucro rápido "
13,5,"Recomendo ,"
4750,2,Não é dos melhores. 
6556,5,Gostei! Aprovado
11646,5,Recomendo. Chegou no prazo.
35624,1,A entrega era para até dia 26/03. Até hoje ainda está no preparo para entrega.
22563,1,não chegou ainda
14050,5,PRODUTO AINDA ESTÁ NO CORREIO
37908,5,já descrito
981,4,Recomendo o produto
17499,5,Vendedor bom 
22981,5,Entrega antes do prazo. Muito satisfeita.
28944,4,Ótimo a loja em sua responsabilidade com o comprador
15662,5,"GOSTEI, É DE QUALIDADE."
34464,5,Muito boa essa loja entre a rapido 
4592,3,compro sempre
35093,1,Quero devolução 
